date,channel,sessions,users,new_users,pageviews,bounce_rate,avg_session_duration,transactions,revenue,add_to_carts,cart_abandonment_rate,product_views,checkout_initiated,aov,conversion_rate,cac,returning_customer_rate,mobile_traffic_pct
2024-08-01,Organic Search,2450,2180,1850,8920,42.5,185,85,12750000,320,73.4,4580,105,150000,3.47,45000,28.5,68.2
2024-08-01,Facebook Ads,3200,2950,2650,11500,55.8,142,125,21875000,485,74.2,6200,152,175000,3.91,125000,18.2,82.5
2024-08-01,Google Ads,1850,1720,1580,6850,48.2,168,92,15180000,278,66.9,3950,112,165000,4.97,95000,22.8,58.3
2024-08-01,Direct,1120,980,420,3850,35.8,225,62,10850000,165,62.4,2150,75,175000,5.54,0,65.2,45.8
2024-08-01,Email,850,780,125,2950,28.5,285,58,11020000,142,59.2,1650,71,190000,6.82,8500,82.5,71.2
2024-08-02,Organic Search,2580,2280,1920,9320,43.2,182,88,13420000,335,72.8,4720,108,152500,3.41,45000,29.2,67.8
2024-08-02,Facebook Ads,3450,3180,2850,12200,56.2,138,132,23100000,512,75.1,6580,161,175000,3.83,128000,17.5,83.2
2024-08-02,Google Ads,1920,1780,1620,7050,47.8,172,95,15675000,285,67.5,4080,115,165000,4.95,96000,23.5,59.1
2024-08-02,Direct,1180,1020,450,4050,36.2,220,65,11375000,172,63.1,2250,78,175000,5.51,0,64.8,46.2
2024-08-02,Email,880,810,135,3050,29.2,280,60,11400000,148,60.1,1720,74,190000,6.82,8800,81.8,70.5
2024-08-03,Organic Search,2680,2380,1980,9680,42.8,188,92,14030000,348,71.5,4880,112,152500,3.43,45000,28.8,68.5
2024-08-03,Facebook Ads,3580,3280,2950,12650,55.5,145,138,24150000,532,74.6,6820,167,175000,3.85,130000,18.8,82.8
2024-08-03,Google Ads,1980,1830,1650,7250,48.5,170,98,16170000,295,68.2,4180,118,165000,4.95,97000,22.2,58.8
2024-08-03,Direct,1220,1060,480,4180,35.5,228,68,11900000,178,62.8,2320,81,175000,5.57,0,65.5,45.5
2024-08-03,Email,920,840,145,3180,28.8,288,63,11970000,155,59.8,1780,77,190000,6.85,9000,82.8,71.8
2024-08-04,Organic Search,2420,2150,1820,9020,43.8,180,82,12710000,310,73.8,4520,102,155000,3.39,45000,29.5,67.2
2024-08-04,Facebook Ads,3120,2880,2580,11250,57.2,135,118,20650000,465,76.2,6050,145,175000,3.78,127000,17.2,84.2
2024-08-04,Google Ads,1780,1650,1520,6750,49.2,165,88,14520000,268,69.5,3880,108,165000,4.94,94000,23.8,57.5
2024-08-04,Direct,1080,950,410,3750,37.2,215,58,10150000,158,64.2,2080,71,175000,5.37,0,63.2,47.8
2024-08-04,Email,820,750,120,2850,30.2,275,55,10450000,138,61.2,1580,68,190000,6.71,8200,83.2,69.8
2024-08-05,Organic Search,2520,2240,1890,9350,42.2,192,87,13305000,328,72.1,4650,106,153000,3.45,45000,28.2,68.8
2024-08-05,Facebook Ads,3350,3080,2750,12050,56.8,140,128,22400000,502,75.5,6420,156,175000,3.82,129000,18.5,83.5
2024-08-05,Google Ads,1880,1740,1590,7020,48.8,168,93,15345000,282,68.8,4050,114,165000,4.95,95500,22.8,58.2
2024-08-05,Direct,1150,1010,445,3980,36.5,222,63,11025000,168,63.5,2180,76,175000,5.48,0,64.5,46.5
2024-08-05,Email,870,800,130,3020,29.5,282,59,11210000,145,60.5,1680,73,190000,6.78,8600,82.2,70.8
2024-08-06,Organic Search,2780,2450,2050,10120,41.5,195,98,14994000,365,70.8,5080,118,153000,3.53,45000,27.5,69.2
2024-08-06,Facebook Ads,3720,3420,3050,13250,54.8,148,145,25375000,562,73.8,7120,175,175000,3.90,132000,19.2,82.2
2024-08-06,Google Ads,2050,1900,1720,7480,47.5,175,102,16830000,308,67.2,4320,122,165000,4.98,98000,21.8,59.5
2024-08-06,Direct,1280,1120,510,4380,34.8,232,72,12600000,188,61.8,2420,85,175000,5.63,0,66.2,45.2
2024-08-06,Email,950,870,150,3280,28.2,292,66,12540000,160,59.2,1850,80,190000,6.95,9200,83.5,72.2
2024-08-07,Organic Search,2680,2370,1980,9780,42.8,188,92,14076000,350,71.7,4920,110,153000,3.43,45000,28.5,68.5
2024-08-07,Facebook Ads,3580,3280,2920,12580,55.2,143,136,23800000,528,74.2,6780,163,175000,3.80,130000,18.8,83.8
2024-08-07,Google Ads,1950,1810,1640,7180,48.2,170,96,15840000,293,68.5,4150,116,165000,4.92,96500,22.5,58.8
2024-08-07,Direct,1210,1060,470,4120,35.8,225,67,11725000,176,63.2,2280,79,175000,5.54,0,65.2,46.2
2024-08-07,Email,900,825,140,3120,29.2,285,61,11590000,152,60.2,1730,75,190000,6.78,8800,82.8,71.2
2024-08-08,Organic Search,2850,2520,2110,10350,41.2,198,102,15606000,378,70.2,5220,122,153000,3.58,45000,27.2,69.5
2024-08-08,Facebook Ads,3850,3540,3150,13650,54.2,151,150,26250000,582,73.2,7350,181,175000,3.90,133000,19.5,82.8
2024-08-08,Google Ads,2120,1970,1780,7720,47.2,178,105,17325000,318,66.8,4450,126,165000,4.95,99000,21.5,59.8
2024-08-08,Direct,1320,1150,530,4520,34.5,235,75,13125000,195,61.5,2520,88,175000,5.68,0,66.5,45.8
2024-08-08,Email,980,900,155,3380,27.8,295,68,12920000,165,58.8,1920,82,190000,6.94,9400,83.8,72.5
2024-08-09,Organic Search,2750,2430,2030,10050,42.5,192,95,14535000,362,71.2,5050,115,153000,3.45,45000,28.2,68.8
2024-08-09,Facebook Ads,3680,3380,3010,13050,55.5,145,142,24850000,558,74.5,7080,170,175000,3.86,131000,18.5,83.2
2024-08-09,Google Ads,2020,1870,1700,7420,48.5,172,99,16335000,305,68.2,4280,119,165000,4.90,97500,22.8,58.5
2024-08-09,Direct,1250,1090,490,4280,36.2,228,70,12250000,183,62.8,2380,82,175000,5.60,0,64.8,46.5
2024-08-09,Email,930,855,148,3220,29.5,288,64,12160000,157,60.2,1800,77,190000,6.88,9100,82.2,71.5
2024-08-10,Organic Search,2880,2550,2130,10480,40.8,201,105,16065000,388,69.8,5320,125,153000,3.65,45000,26.8,70.2
2024-08-10,Facebook Ads,3920,3600,3200,13950,53.8,153,155,27125000,602,72.8,7520,186,175000,3.95,134000,20.2,82.5
2024-08-10,Google Ads,2180,2020,1830,7920,46.8,181,108,17820000,328,66.5,4580,130,165000,4.95,100000,21.2,60.2
2024-08-10,Direct,1380,1200,560,4720,33.8,240,78,13650000,202,61.2,2620,91,175000,5.65,0,67.2,45.5
2024-08-10,Email,1020,935,162,3520,27.2,298,71,13490000,172,58.5,2000,85,190000,6.96,9600,84.2,72.8
